,Shares Outstanding,Float Shares,Float Percentage,IO%,Insider%,Months Left,Accumulated Deficit,Net Working Capital
56,5298000.0,4637339.3999999985,0.8752999999999999,1.8,10.67,1.2550140495773752,3603876.0,362586.0
57,32799999.0,16885439.4852,0.5147999999999999,47.25,1.27,37.88758357211079,13423000.0,10086000.0
58,44140000.0,42965876.0,0.9734,0.17,2.49,0.13201947014453982,-146194000.0,-29313000.0
59,9904000.0,6934780.799999999,0.7001999999999999,0.48,29.5,25.04660348344369,-10600358.0,14963631.0
60,38850000.0,37820475.0,0.9735,0.18,2.47,,,
61,11680000.0,5712688.0,0.4891,0.92,50.17,2.7204301075268815,-302439000.0,-1308000.0
62,143910000.0,127964772.0,0.8892,8.71,2.37,4.313553113553114,-572599000.0,-6619000.0
63,115090000.0,56578243.99999999,0.4915999999999999,49.02,1.82,6.991226648715252,1310631000.0,
64,47750000.0,20699625.0,0.4335,51.79,4.86,1.6872953911759885,-796806000.0,85001000.0
65,15010000.0,9609402.000000002,0.6402000000000001,14.44,21.54,6.73034205053321,-974291000.0,-23561000.0
66,22510000.0,12549325.0,0.5575,17.51,26.74,,,
67,12820000.0,9316294.0,0.7267,0.24,27.09,6.820792025153804,-87534409.0,148818.0
68,8726000.0,8218146.8,0.9418,4.1,1.72,4.571888425001513,-7566000.0,10123000.0
69,11380000.0,5569371.999999999,0.4893999999999999,0.49,50.57,5.2690182654556414,3488312.0,21306930.0
70,31840000.0,5880847.999999999,0.1847,2.76,78.77,0.6200614442323427,-82985942.0,-31857971.0
71,15470000.0,12371359.0,0.7997,3.17,16.86,3.279652740097667,-4232000.0,1741000.0
72,5298000.0,4637339.3999999985,0.8752999999999999,1.8,10.67,1.2550140495773752,3603876.0,362586.0
73,47250000.0,45284400.0,0.9584,2.09,2.07,6.2364824022618714,-741996000.0,2733000.0
74,127050000.0,107547825.0,0.8465,9.64,5.71,5.471957655612021,-368519000.0,343789000.0
75,8726000.0,8218146.8,0.9418,4.1,1.72,4.571888425001513,-7566000.0,10123000.0
76,11680000.0,5712688.0,0.4891,0.92,50.17,2.7204301075268815,-302439000.0,-1308000.0
77,65150000.0,49448850.0,0.759,14.77,9.33,0.28221872441689433,-172287288.0,-34291598.0
78,11380000.0,5569371.999999999,0.4893999999999999,0.49,50.57,5.2690182654556414,3488312.0,21306930.0
79,17390000.0,16482242.0,0.9478,2.31,2.91,6.337504196963668,-94972717.0,8571806.0
80,70680000.0,39467712.0,0.5584,28.68,15.48,,,
81,55120000.0,30779008.0,0.5584,28.68,15.48,11.407286821705426,-16974000.0,4127000.0
82,294700000.0,221938570.0,0.7531,22.09,2.6,22.175901988267665,-1115240000.0,75616000.0
83,53310000.0,13530078.000000007,0.2538000000000001,72.82,1.8,5.162512687737812,-478766000.0,375924000.0
84,13460000.0,10213448.0,0.7588,22.93,1.19,0.8902665121668598,-302683000.0,3263000.0
85,90640000.0,88664048.0,0.9782,0.08,2.1,55.5614879017696,-65829000.0,73645000.0
86,405410000.0,91379413.99999996,0.2254,71.23,6.23,2.6979984783678903,-1222970000.0,27456000.0
87,9732000.0,4759921.2,0.4891,0.92,50.17,2.7204301075268815,-302439000.0,-1308000.0
88,174540000.0,89853191.99999999,0.5147999999999999,47.25,1.27,14.859041334433146,-1287468000.0,131488000.0
89,59170000.0,21910651.0,0.3703,0.06,62.91,2.549880875428316,-13160629.0,-2078026.0
90,28930000.0,21787183.0,0.7531,22.09,2.6,11.639959839357429,124557000.0,111179000.0
91,146250000.0,9769500.000000013,0.06680000000000008,92.46,0.86,1.181651376146789,76600000.0,149500000.0
92,13390000.0,2197298.9999999986,0.16409999999999988,83.2,0.39,6.25160797501605,-245717189.0,8333785.0
93,50830000.0,47104161.0,0.9267,4.54,2.79,0.5364156724745278,-25350392.0,-5166264.0
94,28060000.0,25225940.0,0.899,9.16,0.94,5.3717135177230135,-230080000.0,58131000.0
95,109200000.0,97166160.0,0.8898,8.23,2.79,4.347069098022777,-116661000.0,8424000.0
96,13790000.0,9829512.0,0.7128,26.28,2.44,9.939805051966905,-20626799.0,7134416.0
97,98410000.0,69123183.99999999,0.7023999999999998,18.55,11.21,2.174642503668817,-112471000.0,33530000.0
98,20160000.0,15301440.0,0.759,14.77,9.33,9.505833680125482,-71585003.0,25782040.0
99,125830000.0,58372537.0,0.4639,52.32,1.29,5.409231880262522,-3775992000.0,157944000.0
100,44530000.0,39413503.0,0.8851,4.8,6.69,4.67917619989713,-83479098.0,17388703.0
101,46100000.0,32159360.0,0.6976,11.08,19.16,7.244087019280339,-316279000.0,68026000.0
102,126010000.0,17401981.0,0.1381,80.26,5.93,2.7714585643365712,10374826000.0,1359759000.0
103,91930000.0,10875318.999999996,0.11829999999999995,84.19,3.98,,,
104,39750000.0,12354299.999999998,0.3108,40.8,28.12,0.28498864570417537,21266000.0,-383573000.0
105,13460000.0,10213448.0,0.7588,22.93,1.19,0.8902665121668598,-302683000.0,3263000.0
106,125840000.0,120605056.0,0.9584,2.09,2.07,2.2424916962844867,-111532777.0,2388225.0
107,9732000.0,4759921.2,0.4891,0.92,50.17,2.7204301075268815,-302439000.0,-1308000.0
108,26580000.0,22143798.0,0.8331,6.56,10.13,0.3506556549985329,-87388619.0,764934.0
109,21240000.0,20456244.0,0.9631,1.12,2.57,0.6391865849800098,-234923000.0,-25268000.0
110,19800000.0,18326880.0,0.9256,6.87,0.57,2.800053808175876,-174524983.0,1728762.0
111,44530000.0,39413503.0,0.8851,4.8,6.69,4.67917619989713,-83479098.0,17388703.0
112,73720000.0,57958664.0,0.7862,11.31,10.07,10.081092111744423,-2263563000.0,17092000.0
113,23260000.0,20203636.0,0.8686,0.85,12.29,10.576433454493227,-50464920.0,-2362974.0
114,41630000.0,36601096.0,0.8792,6.66,5.42,6.992947301181082,-263140660.0,17728557.0
115,59170000.0,21910651.0,0.3703,0.06,62.91,2.549880875428316,-13160629.0,-2078026.0
116,13390000.0,2197298.9999999986,0.16409999999999988,83.2,0.39,6.25160797501605,-245717189.0,8333785.0
117,65150000.0,63260650.0,0.971,0.17,2.73,0.28221872441689433,-172287288.0,-34291598.0
118,47750000.0,23980050.0,0.5022,8.99,40.79,1.6872953911759885,-796806000.0,85001000.0
119,11380000.0,5569371.999999999,0.4893999999999999,0.49,50.57,5.2690182654556414,3488312.0,21306930.0
