,Market Capitalization,Current Liabilities,Shares,Cash,Operating Expenses,Current Ratio,PE Ratio,Earnings/Share,Debt/Equity,Debt,Current Debt,Interest Expense,Revenue,Price/Sales
239,96435443.0,17636000.0,68882459.0,24869000.0,30544000.0,11.505999999999998,-0.915,-0.43,0.10400000000000001,1743000.0,0.0,0.0,0.0,
240,77570389.0,368000000.0,43578870.0,290000000.0,73000000.0,1.9180000000000001,0.7979999999999999,-1.56,11.455,171000000.0,14000000.0,4000000.0,329000000.0,0.062
241,62831538.0,2026880.0,20943846.0,2804740.0,765461.0,1.546,-30.0,-0.04,0.556,1114892.0,579475.0,0.0,0.0,
242,184259256.0,5270582.0,122839504.0,11465613.0,6543682.0,2.32,-6.0,-0.06,4.7139999999999995,69056.0,58892.0,26310.0,0.0,
243,65723908.0,125362000.0,32060443.0,85934000.0,61986000.0,1.3030000000000002,-1.34,0.07,1.494,0.0,0.0,0.0,97872000.0,0.162
244,45995102.0,8435398.0,79384021.0,9434524.0,5517679.0,1.8030000000000002,-0.966,-0.1,0.943,1928177.0,265936.0,0.0,1999116.0,15.085
245,68252666.0,9107000.0,97727185.0,33614000.0,6501000.0,4.1160000000000005,-2.5869999999999997,-0.07,0.562,12841000.0,5037000.0,117000.0,31000.0,2201.699
246,44825983.0,440121.0,10118732.0,1890866.0,3917602.0,5.987,-5.274,-0.41,0.184,0.0,0.0,0.0,0.0,
247,195585657.0,9936267.0,35051193.0,12232418.0,10766949.0,2.104,-9.3,-0.12,7.011,15694867.0,1666666.0,311958.0,7430311.0,7.838999999999999
248,36251074.0,9144681.0,29959565.0,13563791.0,8889519.0,2.9019999999999997,-0.7859999999999999,-0.29,0.435,2018203.0,598323.0,0.0,674942.0,15.165999999999999
249,89442981.0,45616000.0,78458755.0,153432000.0,37951000.0,3.425,-1.5619999999999998,-0.27,5.87,110152000.0,9004000.0,3106000.0,11130000.0,2.4419999999999997
250,20298168.0,,6226432.0,53283.0,736009.0,,-3.9760000000000004,-0.52,-1.032,3356054.0,,1550418.0,0.0,
251,37404559.0,35390000.0,49055159.0,656000.0,4769000.0,0.302,-1.2919999999999998,-0.11,-2.062,20068000.0,14632000.0,457000.0,686000.0,0.825
252,28260717.0,704162.0,8859159.0,3827050.0,1209704.0,6.855,-1.34,-0.15,0.20199999999999999,218145.0,66631.0,0.0,107800.0,44.405
253,103186132.0,8031000.0,86711035.0,90943000.0,15483000.0,11.720999999999998,-1.202,-0.25,0.18600000000000005,0.0,0.0,0.0,0.0,
254,137510954.0,215999000.0,40325793.0,114898000.0,108085000.0,0.821,-0.986,-0.72,2.084,28157000.0,6603000.0,53000.0,370881000.0,0.094
255,45303642.0,4369480.0,27965211.0,3975494.0,2887644.0,2.325,-4.378,-0.11,0.607,285661.0,200823.0,-19044.0,701486.0,16.419
256,77570389.0,368000000.0,43578870.0,290000000.0,73000000.0,1.9180000000000001,0.7979999999999999,-1.56,11.455,171000000.0,14000000.0,4000000.0,329000000.0,0.062
257,141650342.0,829900000.0,49013959.0,174500000.0,246900000.0,0.768,-4.379,-0.16,-4.558,1045200000.0,389700000.0,10200000.0,375900000.0,0.084
258,77570389.0,368000000.0,43578870.0,290000000.0,73000000.0,1.9180000000000001,0.7979999999999999,-1.56,11.455,171000000.0,14000000.0,4000000.0,329000000.0,0.062
259,45995102.0,8435398.0,79384021.0,9434524.0,5517679.0,1.8030000000000002,-0.966,-0.1,0.943,1928177.0,265936.0,0.0,1999116.0,15.085
260,20944251.0,19387711.0,11023870.0,806245.0,4609270.0,0.7340000000000001,-2.8789999999999996,-0.03,5.6160000000000005,8820773.0,7241190.0,517391.0,11602722.0,0.528
261,38667647.0,6312076.0,25778431.0,5420708.0,3407505.0,1.187,-3.125,-0.14,4.336,127224.0,121075.0,0.0,685261.0,8.352
262,77570389.0,368000000.0,43578870.0,290000000.0,73000000.0,1.9180000000000001,0.7979999999999999,-1.56,11.455,171000000.0,14000000.0,4000000.0,329000000.0,0.062
263,36251074.0,9144681.0,29959565.0,13563791.0,8889519.0,2.9019999999999997,-0.7859999999999999,-0.29,0.435,2018203.0,598323.0,0.0,674942.0,15.165999999999999
264,62198489.0,14665000.0,27643773.0,27140000.0,13375000.0,1.982,-1.5730000000000002,-0.46,2.4730000000000003,25537000.0,9728000.0,259000.0,0.0,
265,158419461.0,7533000.0,24075906.0,65713000.0,13571000.0,21.663,-1.4240000000000002,-0.41,0.05,0.0,0.0,0.0,0.0,
266,23995727.0,3369000.0,31034308.0,7440000.0,3239736.0,3.748,-0.758,-0.09,0.158,368000.0,368000.0,2689.0,1200525.0,3.51
267,53505217.0,8292000.0,167256070.0,22726000.0,5758000.0,2.8310000000000004,-0.215,1.14,1.045,0.0,0.0,0.0,30000.0,24.51
268,24059854.0,17298000.0,4043673.0,2321000.0,9663000.0,0.946,-0.821,-2.95,2.292,5591000.0,0.0,0.0,4074000.0,0.9990000000000001
269,41043542.0,10059000.0,38358450.0,10218000.0,22273000.0,3.23,-0.289,-0.76,0.377,3522000.0,528000.0,0.0,1466000.0,7.2620000000000005
270,26002389.0,10180000.0,53066099.0,24846000.0,10951000.0,2.9210000000000003,-0.366,-0.32,0.9209999999999999,8304000.0,3976000.0,170000.0,880000.0,5.829
271,75954545.0,41312000.0,58879492.0,14200000.0,9973000.0,0.47100000000000003,-1.72,-0.15,-30.115,15837000.0,3374000.0,890000.0,9699000.0,2.001
272,96435443.0,17636000.0,68882459.0,24869000.0,30544000.0,11.505999999999998,-0.915,-0.43,0.10400000000000001,1743000.0,0.0,0.0,0.0,
273,32421247.0,9044210.0,17245344.0,7107753.0,2060913.0,0.7390000000000001,-3.4810000000000003,-0.13,11.753,38637370.0,2974203.0,979202.0,1426775.0,8.245
274,45303642.0,4369480.0,27965211.0,3975494.0,2887644.0,2.325,-4.378,-0.11,0.607,285661.0,200823.0,-19044.0,701486.0,16.419
275,42220896.0,31988000.0,76598143.0,29317000.0,62109000.0,1.285,-0.138,-0.23,6.813,126856000.0,3612000.0,2838000.0,43100000.0,0.22
276,62198489.0,14665000.0,27643773.0,27140000.0,13375000.0,1.982,-1.5730000000000002,-0.46,2.4730000000000003,25537000.0,9728000.0,259000.0,0.0,
277,37341639.0,4938541.0,11930236.0,2708223.0,2966092.0,1.35,-0.406,5.62,1.4269999999999998,3159987.0,1970043.0,44877.0,820674.0,10.673
278,58206189.0,18488000.0,73678720.0,31144000.0,9474000.0,1.9240000000000002,-1.145,-0.14,1.197,9267000.0,4812000.0,199000.0,0.0,17.401
279,48859603.0,5135000.0,49353134.0,11349000.0,8734000.0,2.716,-0.051,4.6,0.546,352000.0,352000.0,0.0,0.0,
280,161695901.0,23200000.0,47557618.0,51502000.0,13818000.0,3.065,113.333,-0.16,0.648,27481000.0,4759000.0,-171000.0,19384000.0,2.017
281,34598005.0,3570000.0,53227700.0,10735000.0,4813000.0,3.7769999999999997,-2.031,-0.08,0.621,276000.0,0.0,0.0,0.0,
282,32421247.0,9044210.0,17245344.0,7107753.0,2060913.0,0.7390000000000001,-3.4810000000000003,-0.13,11.753,38637370.0,2974203.0,979202.0,1426775.0,8.245
