,Stock,Date
134,BIOC,2020-09-16 09:30:00-04:00
135,KODK,2020-09-16 09:30:00-04:00
136,EQ,2020-09-15 09:30:00-04:00
137,FTFT,2020-09-15 09:30:00-04:00
138,RRD,2020-09-15 09:30:00-04:00
139,JAKK,2020-09-15 09:30:00-04:00
140,MRNS,2020-09-14 09:30:00-04:00
141,SAVA,2020-09-14 09:30:00-04:00
142,VBLT,2020-09-11 09:30:00-04:00
143,NWGI,2020-09-09 09:30:00-04:00
144,SBBP,2020-09-08 09:30:00-04:00
145,LUB,2020-09-08 09:30:00-04:00
146,VXRT,2020-09-08 09:30:00-04:00
147,ADMA,2020-09-03 09:30:00-04:00
148,SNSS,2020-09-03 09:30:00-04:00
149,HGSH,2020-09-02 09:30:00-04:00
150,AESE,2020-09-02 09:30:00-04:00
151,VRA,2020-09-02 09:30:00-04:00
152,REKR,2020-09-02 09:30:00-04:00
153,KODK,2020-09-01 09:30:00-04:00
154,JNCE,2020-09-01 09:30:00-04:00
155,PRTH,2020-09-01 09:30:00-04:00
156,UTSI,2020-08-31 09:30:00-04:00
157,BOXL,2020-08-31 09:30:00-04:00
158,TRVN,2020-08-28 09:30:00-04:00
159,ZAGG,2020-08-27 09:30:00-04:00
160,UONE,2020-08-27 09:30:00-04:00
161,HTBX,2020-08-26 09:30:00-04:00
162,GMBL,2020-08-26 09:30:00-04:00
163,GERN,2020-08-26 09:30:00-04:00
164,TYME,2020-08-26 09:30:00-04:00
165,HTBX,2020-08-25 09:30:00-04:00
166,QEP,2020-08-25 09:30:00-04:00
167,RNWK,2020-08-25 09:30:00-04:00
168,OVID,2020-08-25 09:30:00-04:00
169,UONE,2020-08-25 09:30:00-04:00
170,XSPA,2020-08-24 09:30:00-04:00
171,ADMA,2020-08-24 09:30:00-04:00
172,BRQS,2020-08-24 09:30:00-04:00
173,TRVN,2020-08-24 09:30:00-04:00
174,THMO,2020-08-24 09:30:00-04:00
175,TTOO,2020-08-24 09:30:00-04:00
176,SAVA,2020-08-24 09:30:00-04:00
177,CLBS,2020-08-21 09:30:00-04:00
178,OPGN,2020-08-20 09:30:00-04:00
179,AESE,2020-08-20 09:30:00-04:00
180,MNPR,2020-08-19 09:30:00-04:00
181,AESE,2020-08-19 09:30:00-04:00
182,WATT,2020-08-19 09:30:00-04:00
183,AVCO,2020-08-19 09:30:00-04:00
184,RESN,2020-08-18 09:30:00-04:00
185,IMBI,2020-08-18 09:30:00-04:00
186,OTIC,2020-08-18 09:30:00-04:00
187,MBOT,2020-08-17 09:30:00-04:00
188,WTRH,2020-08-17 09:30:00-04:00
189,ABEO,2020-08-17 09:30:00-04:00
190,CIDM,2020-08-17 09:30:00-04:00
191,LMPX,2020-08-17 09:30:00-04:00
192,MBIO,2020-08-17 09:30:00-04:00
193,RMBL,2020-08-14 09:30:00-04:00
194,FAT,2020-08-13 09:30:00-04:00
195,PHUN,2020-08-13 09:30:00-04:00
196,HTBX,2020-08-13 09:30:00-04:00
197,MGI,2020-08-13 09:30:00-04:00
