,Failure Rate,Average Dump,Average Success,# Dumps,Splits
0,1.0,-0.10850597868684309,,3,0.03333333333333333
1,0.7916666666666666,-0.08852217928490955,0.0528732161118774,24,0.125
2,0.7,-0.11739321767807405,0.382978115950602,20,1.0
3,0.75,-0.07996368997733226,0.22426958160419286,16,1.0
4,0.3333333333333333,-0.022673136303484723,0.026294099628425858,3,1.0
5,0.9285714285714286,-0.11365665791755383,0.009132420091324209,14,0.005
6,0.5333333333333333,-0.0658096659321769,0.08832795781380587,15,1.0
7,0.8064516129032258,-0.12645555474187917,0.09578052224317257,31,0.016666666666666666
8,0.7142857142857143,-0.12424917345048175,0.21880291446558423,35,0.002
9,0.7352941176470589,-0.11165846905865313,0.18545910241392133,34,0.02
10,0.8,-0.0841580143539746,0.061371841155234634,5,1.0
11,0.25,-0.09825688073394498,0.10079872787625101,8,1.0
12,1.0,-0.10806994282900449,,4,0.06666666666666667
13,0.8,-0.05948803596376663,0.2905263157894737,5,0.4
14,0.6756756756756757,-0.1301350483086475,0.08661199238416797,37,1.0
15,0.8064516129032258,-0.12645555474187917,0.09578052224317257,31,0.016666666666666666
16,0.6785714285714286,-0.1024592273100461,0.09778502173420814,56,1.0
17,0.8,-0.1618263110994492,0.28801169590643283,5,1.0
18,0.3076923076923077,-0.059849515306893177,0.0436670170664486,13,1.0
19,0.7222222222222222,-0.13946693540435498,0.04326334756910877,18,0.133332
20,0.675,-0.1009118046917557,0.1269114054075738,40,1.0
21,0.7777777777777778,-0.11063990609192652,0.059495669654625584,27,1.0
22,0.7586206896551724,-0.11094753914850433,0.04908460083425716,29,0.00018019234249999996
23,0.6956521739130435,-0.10028479174642345,0.11693951617055577,23,0.06666666666666667
24,0.6756756756756757,-0.1301350483086475,0.08661199238416797,37,1.0
25,0.2727272727272727,-0.06095619693565768,0.11454665395656731,11,1.0
26,0.6785714285714286,-0.1024592273100461,0.09778502173420814,56,1.0
27,0.6666666666666666,-0.0979785211346241,0.1269114054075738,39,1.0
28,0.7916666666666666,-0.12467666285382227,0.3824867648895923,24,0.005
29,1.0,-0.10042999725234358,,10,1.0
30,0.6896551724137931,-0.10602508794018836,0.47971802570693245,29,3.000000000000003
31,0.8666666666666667,-0.12181523033818682,0.11111111111111112,15,0.005
32,0.7352941176470589,-0.11165846905865313,0.18545910241392133,34,0.02
33,0.7272727272727273,-0.10752496277741758,0.18545910241392133,33,0.02
34,0.7441860465116279,-0.08486825938845996,0.09341778019013053,43,0.02
35,0.6888888888888889,-0.13825827764338877,0.19369777457352882,45,1.0
36,0.8135593220338984,-0.10787587197340391,0.2469760977734582,59,0.05
37,0.8,-0.0841580143539746,0.061371841155234634,5,1.0
38,0.7272727272727273,-0.07172153340729558,0.06163299542635579,22,0.15000000000000002
39,0.6818181818181818,-0.06349511626751397,0.13463521639602458,22,1.0
40,0.8571428571428571,-0.08246224914861792,0.38504155124653744,7,1.0
41,0.7058823529411765,-0.14718847080152642,0.04326334756910877,17,0.133332
42,0.7857142857142857,-0.10676860436702378,0.5662365321706959,14,1.0
43,0.3333333333333333,-0.000794912559618425,0.04954954954954956,3,1.0
44,0.8571428571428571,-0.19888539450203338,0.26694915254237306,7,1.0
45,1.0,-0.10264227642276423,,2,1.0
46,0.45454545454545453,-0.04159531109199442,0.04887965491627655,11,1.0
47,0.5555555555555556,-0.0931896837013914,0.07852518566295325,36,1.0
48,0.5,-0.00686274509803907,0.10119047619047615,2,1.0
49,0.7222222222222222,-0.09024500412437017,0.1225158045440525,18,0.25
50,1.0,-0.10850597868684309,,3,0.03333333333333333
51,0.7796610169491526,-0.10969022572293068,0.06113724346791794,59,0.125
52,0.88,-0.11001028774466803,0.17076941781449984,25,0.08333333333333333
53,0.7777777777777778,-0.12283397616227083,0.25919060246802095,54,0.01
54,0.6086956521739131,-0.09927005522465275,0.0873595376902813,23,0.03333333333333333
55,0.625,-0.12680649059263546,0.043731778425656086,8,1.0
56,0.7619047619047619,-0.14041192660679258,0.2605086463932015,21,1.0
57,0.8333333333333334,-0.09185723550382151,0.03381731653137141,12,0.5078125
58,0.8571428571428571,-0.11602106031120722,0.3758933457859069,35,1.0
59,0.5,-0.07557048644678208,0.13239767310054243,10,1.0
60,0.5,-0.12744692648014208,0.12107612371544121,8,1.0
61,0.9444444444444444,-0.1450702811630041,0.05571030640668529,18,0.0005
62,0.7608695652173914,-0.0959757262085504,0.11487626646341105,46,0.125
63,0.25,-0.07796208530805701,0.021017534495020893,4,8.0
64,0.6896551724137931,-0.10602508794018836,0.47971802570693245,29,3.000000000000003
65,0.6,-0.12384560869320532,0.17215820441891025,20,0.06666666666666667
66,0.7222222222222222,-0.13317721685165246,0.13329572747788002,36,1.0
67,0.7758620689655172,-0.10952361962788469,0.06113724346791794,58,0.125
68,0.6,-0.07076328063014231,0.16183546558391065,25,1.0
69,0.5714285714285714,-0.10739450055082081,0.49257719403280764,7,1.0
70,1.0,-0.10850597868684309,,3,0.03333333333333333
71,0.8461538461538461,-0.12195174300153014,0.15044808441034857,13,1.0
72,0.75,-0.14483445010897383,0.2605086463932015,20,1.0
73,0.8,-0.10241454528467125,0.13374233128834354,5,0.125
74,0.6363636363636364,-0.13554291919229375,0.06604358694714474,11,1.0
75,0.625,-0.07076328063014231,0.14193397161952798,24,1.0
76,0.9411764705882353,-0.1471927292912474,0.05571030640668529,17,0.0005
77,0.75,-0.10346030202533985,0.11179058441558438,16,0.002
78,0.5714285714285714,-0.10739450055082081,0.49257719403280764,7,1.0
79,0.6666666666666666,-0.13214321095665071,0.2878516983834663,9,0.1
80,0.8260869565217391,-0.08852217928490955,0.06413457297742013,23,0.125
81,0.7105263157894737,-0.10566768763055896,0.11964719842291088,38,0.5
82,0.6097560975609756,-0.11077702826057316,0.15755033025403367,41,0.041666666666666664
83,0.6666666666666666,-0.025396098986031866,0.3382978723404255,3,1.0
84,0.8888888888888888,-0.10333079148060474,0.03174603174603184,9,1.0
